Date,Open,High,Low,Close,Volume
2024-09-23,433.412,435.588,429.529,432.644,15159173.591868
2024-09-24,432.135,432.484,425.249,428.313,17049813.412135
2024-09-25,428.971,432.254,427.714,431.247,13423178.696697
2024-09-26,434.216,434.43,428.273,430.448,14521051.853503
2024-09-27,430.658,430.987,426.616,427.165,14925947.690165
2024-09-30,427.355,429.56,424.52,429.44,16888342.851868
2024-10-01,427.594,427.624,417.973,419.85,19131162.200521
2024-10-02,421.736,421.975,415.878,416.297,16615448.707243
2024-10-03,416.796,418.712,413.462,415.708,13713816.286362
2024-10-04,417.405,418.911,414.141,415.229,19229326.297178
2024-10-07,415.169,416.277,408.183,408.722,20961634.828316
2024-10-08,410.079,414.83,407.355,413.882,19267751.056065
2024-10-09,415.029,419.54,413.472,416.626,15004230.070284
2024-10-10,414.396,416.516,412.325,415.009,13876095.461952
2024-10-11,415.304,416.297,412.424,415.488,14173257.084294
2024-10-14,416.935,423.193,416.686,418.303,16686419.481396
2024-10-15,421.337,421.636,414.43,417.904,18938032.39644
2024-10-16,414.341,415.528,409.66,415.289,15539975.297098
2024-10-17,421.516,421.656,414.76,415.888,14849668.311325
2024-10-18,416.307,418.812,415.429,417.325,17179635.750605
2024-10-21,415.289,418.123,412.924,417.943,14234550.526608
2024-10-22,417.654,429.719,417.205,426.656,25533203.182255
2024-10-23,429.994,430.219,421.686,423.752,19693719.989216
2024-10-24,424.475,425.127,421.556,423.882,13608816.534517
2024-10-25,425.907,431.656,425.713,427.295,16932889.840775
2024-10-28,430.793,431.077,425.448,425.738,14912233.29372
2024-10-29,427.145,432.305,424.95,431.087,17679397.094527
2024-10-30,436.561,437.624,431.237,431.666,29808696.083629
2024-10-31,414.53,415.329,405.488,405.538,54079011.469012
2024-11-01,408.193,414.67,406.686,409.55,24278942.619502
2024-11-04,408.971,409.595,404.761,407.644,19711662.832582
2024-11-05,407.554,414.071,407.265,410.638,17661291.926895
2024-11-06,411.596,419.61,409.7,419.341,26735249.439553
2024-11-07,420.438,425.997,419.041,424.58,19941618.200932
2024-11-08,424.47,425.648,420.937,421.696,16925224.52823
2024-11-11,421.671,423.961,415.169,417.175,24552367.824996
2024-11-12,417.414,423.592,416.367,422.185,19440038.224034
2024-11-13,420.798,428.467,417.375,424.351,21545224.631433
2024-11-14,424.151,427.315,419.161,426.037,30307424.36386
2024-11-15,418.981,421.955,412.814,414.171,28304185.611311
2024-11-18,414.041,417.568,411.277,414.929,24791537.600427
2024-11-19,412.285,417.105,410.728,416.955,18169825.795174
2024-11-20,416.037,416.456,409.76,414.66,19230069.782395
2024-11-21,419.5,419.78,410.2887,412.87,20780162.0
2024-11-22,411.365,417.4,411.06,417.0,24814626.0
2024-11-25,418.38,421.08,414.85,418.79,27691090.0
2024-11-26,419.585,429.0414,418.85,427.99,23458889.0
2024-11-27,425.105,427.2299,422.02,422.99,18332444.0
2024-11-29,420.09,424.8849,417.8,423.46,16271921.0
2024-12-02,421.57,433.0,421.31,430.98,20207223.0
2024-12-03,429.84,432.47,427.74,431.2,18301987.0
2024-12-04,433.03,439.67,432.63,437.42,26009429.0
2024-12-05,437.92,444.66,436.171,442.62,21697775.0
2024-12-06,442.3,446.1,441.7703,443.57,18821002.0
2024-12-09,442.6,448.33,440.5,446.02,19144388.0
2024-12-10,444.39,449.62,441.6,443.33,18469459.0
2024-12-11,444.05,450.35,444.05,448.99,19200208.0
2024-12-12,449.11,456.1648,449.11,449.56,20834779.0
2024-12-13,448.435,451.43,445.58,447.27,20177833.0
2024-12-16,447.27,452.18,445.28,451.59,23598834.0
2024-12-17,451.01,455.29,449.57,454.46,22733494.0
2024-12-18,451.32,452.65,437.02,437.39,24444545.0
2024-12-19,441.62,443.1834,436.32,437.03,22963681.0
2024-12-20,433.11,443.74,428.63,436.6,64263694.0
2024-12-23,436.74,437.65,432.83,435.25,19152519.0
2024-12-24,434.65,439.6,434.19,439.33,7164543.0
2024-12-26,439.08,440.94,436.63,438.11,8199927.0
2024-12-27,434.6,435.22,426.35,430.53,18117713.0
